dateID,date_time
0,0000-1-1
1,0000-1-2
2,0000-1-3
3,0000-1-4
4,0000-1-5
5,0000-1-6
6,0000-1-7
7,0000-1-8
8,0000-1-9
9,0000-1-10
10,0000-1-11
11,0000-1-12
12,0000-1-13
13,0000-1-14
14,0000-1-15
15,0000-1-16
16,0000-1-17
17,0000-1-18
18,0000-1-19
19,0000-1-20
20,0000-1-21
21,0000-1-22
22,0000-1-23
23,0000-1-24
24,0000-1-25
25,0000-1-26
26,0000-1-27
27,0000-1-28
28,0000-1-29
29,0000-1-30
30,0000-1-31
31,0000-2-1
32,0000-2-2
33,0000-2-3
34,0000-2-4
35,0000-2-5
36,0000-2-6
37,0000-2-7
38,0000-2-8
39,0000-2-9
40,0000-2-10
41,0000-2-11
42,0000-2-12
43,0000-2-13
44,0000-2-14
45,0000-2-15
46,0000-2-16
47,0000-2-17
48,0000-2-18
49,0000-2-19
50,0000-2-20
51,0000-2-21
52,0000-2-22
53,0000-2-23
54,0000-2-24
55,0000-2-25
56,0000-2-26
57,0000-2-27
58,0000-2-28
59,0000-3-1
60,0000-3-2
61,0000-3-3
62,0000-3-4
63,0000-3-5
64,0000-3-6
65,0000-3-7
66,0000-3-8
67,0000-3-9
68,0000-3-10
69,0000-3-11
70,0000-3-12
71,0000-3-13
72,0000-3-14
73,0000-3-15
74,0000-3-16
75,0000-3-17
76,0000-3-18
77,0000-3-19
78,0000-3-20
79,0000-3-21
80,0000-3-22
81,0000-3-23
82,0000-3-24
83,0000-3-25
84,0000-3-26
85,0000-3-27
86,0000-3-28
87,0000-3-29
88,0000-3-30
89,0000-3-31
90,0000-4-1
91,0000-4-2
92,0000-4-3
93,0000-4-4
94,0000-4-5
95,0000-4-6
96,0000-4-7
97,0000-4-8
98,0000-4-9
99,0000-4-10
100,0000-4-11
101,0000-4-12
102,0000-4-13
103,0000-4-14
104,0000-4-15
105,0000-4-16
106,0000-4-17
107,0000-4-18
108,0000-4-19
109,0000-4-20
110,0000-4-21
111,0000-4-22
112,0000-4-23
113,0000-4-24
114,0000-4-25
115,0000-4-26
116,0000-4-27
117,0000-4-28
118,0000-4-29
119,0000-4-30
120,0000-5-1
121,0000-5-2
122,0000-5-3
123,0000-5-4
124,0000-5-5
125,0000-5-6
126,0000-5-7
127,0000-5-8
128,0000-5-9
129,0000-5-10
130,0000-5-11
131,0000-5-12
132,0000-5-13
133,0000-5-14
134,0000-5-15
135,0000-5-16
136,0000-5-17
137,0000-5-18
138,0000-5-19
139,0000-5-20
140,0000-5-21
141,0000-5-22
142,0000-5-23
143,0000-5-24
144,0000-5-25
145,0000-5-26
146,0000-5-27
147,0000-5-28
148,0000-5-29
149,0000-5-30
150,0000-5-31
151,0000-6-1
152,0000-6-2
153,0000-6-3
154,0000-6-4
155,0000-6-5
156,0000-6-6
157,0000-6-7
158,0000-6-8
159,0000-6-9
160,0000-6-10
161,0000-6-11
162,0000-6-12
163,0000-6-13
164,0000-6-14
165,0000-6-15
166,0000-6-16
167,0000-6-17
168,0000-6-18
169,0000-6-19
170,0000-6-20
171,0000-6-21
172,0000-6-22
173,0000-6-23
174,0000-6-24
175,0000-6-25
176,0000-6-26
177,0000-6-27
178,0000-6-28
179,0000-6-29
180,0000-6-30
181,0000-7-1
182,0000-7-2
183,0000-7-3
184,0000-7-4
185,0000-7-5
186,0000-7-6
187,0000-7-7
188,0000-7-8
189,0000-7-9
190,0000-7-10
191,0000-7-11
192,0000-7-12
193,0000-7-13
194,0000-7-14
195,0000-7-15
196,0000-7-16
197,0000-7-17
198,0000-7-18
199,0000-7-19
200,0000-7-20
201,0000-7-21
202,0000-7-22
203,0000-7-23
204,0000-7-24
205,0000-7-25
206,0000-7-26
207,0000-7-27
208,0000-7-28
209,0000-7-29
210,0000-7-30
211,0000-7-31
212,0000-8-1
213,0000-8-2
214,0000-8-3
215,0000-8-4
216,0000-8-5
217,0000-8-6
218,0000-8-7
219,0000-8-8
220,0000-8-9
221,0000-8-10
222,0000-8-11
223,0000-8-12
224,0000-8-13
225,0000-8-14
226,0000-8-15
227,0000-8-16
228,0000-8-17
229,0000-8-18
230,0000-8-19
231,0000-8-20
232,0000-8-21
233,0000-8-22
234,0000-8-23
235,0000-8-24
236,0000-8-25
237,0000-8-26
238,0000-8-27
239,0000-8-28
240,0000-8-29
241,0000-8-30
242,0000-8-31
243,0000-9-1
244,0000-9-2
245,0000-9-3
246,0000-9-4
247,0000-9-5
248,0000-9-6
249,0000-9-7
250,0000-9-8
251,0000-9-9
252,0000-9-10
253,0000-9-11
254,0000-9-12
255,0000-9-13
256,0000-9-14
257,0000-9-15
258,0000-9-16
259,0000-9-17
260,0000-9-18
261,0000-9-19
262,0000-9-20
263,0000-9-21
264,0000-9-22
265,0000-9-23
266,0000-9-24
267,0000-9-25
268,0000-9-26
269,0000-9-27
270,0000-9-28
271,0000-9-29
272,0000-9-30
273,0000-10-1
274,0000-10-2
275,0000-10-3
276,0000-10-4
277,0000-10-5
278,0000-10-6
279,0000-10-7
280,0000-10-8
281,0000-10-9
282,0000-10-10
283,0000-10-11
284,0000-10-12
285,0000-10-13
286,0000-10-14
287,0000-10-15
288,0000-10-16
289,0000-10-17
290,0000-10-18
291,0000-10-19
292,0000-10-20
293,0000-10-21
294,0000-10-22
295,0000-10-23
296,0000-10-24
297,0000-10-25
298,0000-10-26
299,0000-10-27
300,0000-10-28
301,0000-10-29
302,0000-10-30
303,0000-10-31
304,0000-11-1
305,0000-11-2
306,0000-11-3
307,0000-11-4
308,0000-11-5
309,0000-11-6
310,0000-11-7
311,0000-11-8
312,0000-11-9
313,0000-11-10
314,0000-11-11
315,0000-11-12
316,0000-11-13
317,0000-11-14
318,0000-11-15
319,0000-11-16
320,0000-11-17
321,0000-11-18
322,0000-11-19
323,0000-11-20
324,0000-11-21
325,0000-11-22
326,0000-11-23
327,0000-11-24
328,0000-11-25
329,0000-11-26
330,0000-11-27
331,0000-11-28
332,0000-11-29
333,0000-11-30
334,0000-12-1
335,0000-12-2
336,0000-12-3
337,0000-12-4
338,0000-12-5
339,0000-12-6
340,0000-12-7
341,0000-12-8
342,0000-12-9
343,0000-12-10
344,0000-12-11
345,0000-12-12
346,0000-12-13
347,0000-12-14
348,0000-12-15
349,0000-12-16
350,0000-12-17
351,0000-12-18
352,0000-12-19
353,0000-12-20
354,0000-12-21
355,0000-12-22
356,0000-12-23
357,0000-12-24
358,0000-12-25
359,0000-12-26
360,0000-12-27
361,0000-12-28
362,0000-12-29
363,0000-12-30
364,0000-12-31
365,2015-2-2
366,2016-2-2
367,2017-2-2
368,2018-2-2
369,2019-2-2
370,2015-2-3
371,2016-2-3
372,2017-2-3
373,2018-2-3
374,2019-2-3


